what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430213357
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329430213363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430232026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430302965
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329430302973
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1329430305624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430307568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430339022
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329430340507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430342545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1329430342563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430350610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430352339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430372202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430372956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1329430372975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430385492
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329430390782
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1329430391831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430392837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430393853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430405669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430425963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1329430435814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430437864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430437993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430438944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430457943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430497912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430498007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430498784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430498887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430504825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430504943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430505584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430506560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430506648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430508552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430508595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430510206
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329430510440
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1329430510999
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1329430510999
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1329430510999
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1329430510999
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1329430510999
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1329430511041
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1329846973395
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1329846973396
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1329846973396
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1329846973397
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1329846973398
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1329846973398
